,House Age,Distance from nearest Metro station (km),Number of convenience stores,Number of bedrooms,House size (sqft),House price of unit area,Price
157,16.1,815.9314,4,1,477,35.6,16981.2
158,11.6,390.5684,5,1,461,39.4,18163.399999999998
159,15.5,815.9314,4,1,532,37.4,19896.8
160,3.5,49.66105,8,2,970,57.8,56066.0
161,19.2,616.4004,3,2,1400,39.6,55440.0
162,16.0,4066.587,0,1,469,11.6,5440.4
163,8.5,104.8101,5,1,565,55.5,31357.5
164,0.0,185.4296,0,3,1312,55.2,72422.40000000001
165,13.7,1236.564,1,3,1494,30.6,45716.4
166,0.0,292.9978,6,3,1448,73.6,106572.79999999999
167,28.2,330.0854,8,3,1088,43.4,47219.2
168,27.6,515.1122,5,1,580,37.4,21692.0
169,8.4,1962.628,1,2,1342,23.5,31537.0
170,24.0,4527.687,0,2,1462,14.4,21052.8
171,3.6,383.8624,5,1,411,58.8,24166.8
172,6.6,90.45606,9,3,842,58.1,48920.200000000004
173,41.3,401.8807,4,3,889,35.1,31203.9
174,4.3,432.0385,7,3,1239,45.2,56002.8
175,30.2,472.1745,3,1,503,36.5,18359.5
176,13.9,4573.779,0,3,1206,19.2,23155.2
177,33.0,181.0766,9,1,542,42.0,22764.0
178,13.1,1144.436,4,2,1490,36.7,54683.00000000001
179,14.0,438.8513,1,1,580,42.6,24708.0
180,26.9,4449.27,0,2,1331,15.5,20630.5
181,11.6,201.8939,8,3,1482,55.9,82843.8
182,13.5,2147.376,3,2,1002,23.6,23647.2
183,17.0,4082.015,0,2,923,18.8,17352.4
184,14.1,2615.465,0,1,442,21.8,9635.6
185,31.4,1447.286,3,1,516,21.5,11094.0
186,20.9,2185.128,3,1,436,25.7,11205.199999999999
187,8.9,3078.176,0,3,1175,22.0,25850.0
188,34.8,190.0392,8,1,492,44.3,21795.6
189,16.3,4066.587,0,2,996,20.5,20418.0
190,35.3,616.5735,8,3,810,42.3,34263.0
191,13.2,750.0704,2,2,1256,37.8,47476.799999999996
192,43.8,57.58945,7,3,1000,42.7,42700.0
193,9.7,421.479,5,2,1089,49.3,53687.7
194,15.2,3771.895,0,2,1287,29.3,37709.1
195,15.2,461.1016,5,2,1081,34.6,37402.6
196,22.8,707.9067,2,1,537,36.6,19654.2
197,34.4,126.7286,8,1,548,48.2,26413.600000000002
198,34.0,157.6052,7,3,1368,39.1,53488.8
199,18.2,451.6419,8,1,458,31.6,14472.800000000001
200,17.4,995.7554,0,1,410,25.5,10455.0
201,13.1,561.9845,5,2,1339,45.9,61460.1
202,38.3,642.6985,3,1,585,31.5,18427.5
203,15.6,289.3248,5,1,544,46.1,25078.4
204,18.0,1414.837,1,3,1100,26.6,29260.0
205,12.8,1449.722,3,2,945,21.4,20223.0
206,22.2,379.5575,10,1,456,44.0,20064.0
207,38.5,665.0636,3,3,1053,34.2,36012.600000000006
208,11.5,1360.139,1,1,452,26.2,11842.4
209,34.8,175.6294,8,3,1349,40.9,55174.1
210,5.2,390.5684,5,3,836,52.2,43639.200000000004
211,0.0,274.0144,1,3,1118,43.5,48633.0
212,17.6,1805.665,2,2,1377,31.1,42824.700000000004
213,6.2,90.45606,9,2,1354,58.0,78532.0
214,18.1,1783.18,3,1,586,20.9,12247.4
215,19.2,383.7129,8,1,428,48.1,20586.8
216,37.8,590.9292,1,3,1140,39.7,45258.0
217,28.0,372.6242,6,3,1291,40.8,52672.799999999996
218,13.6,492.2313,5,2,1455,43.8,63728.99999999999
219,29.3,529.7771,8,1,583,40.2,23436.600000000002
220,37.2,186.5101,9,2,1187,78.3,92942.09999999999
221,9.0,1402.016,0,1,417,38.5,16054.5
222,30.6,431.1114,10,3,1145,48.5,55532.5
223,9.1,1402.016,0,2,1270,42.3,53721.0
224,34.5,324.9419,6,2,880,46.0,40480.0
225,1.1,193.5845,6,1,462,49.0,22638.0
226,16.5,4082.015,0,1,588,12.8,7526.400000000001
227,32.4,265.0609,8,3,1380,40.2,55476.00000000001
228,11.9,3171.329,0,2,1204,46.6,56106.4
229,31.0,1156.412,0,1,559,19.0,10621.0
230,4.0,2147.376,3,1,569,33.4,19004.6
231,16.2,4074.736,0,2,1189,14.7,17478.3
232,27.1,4412.765,1,2,1140,17.4,19836.0
233,39.7,333.3679,9,3,975,32.4,31590.0
234,8.0,2216.612,4,1,494,23.9,11806.599999999999
235,12.9,250.631,7,2,1035,39.3,40675.5
236,3.6,373.8389,10,3,1117,61.9,69142.3
237,13.0,732.8528,0,1,578,39.0,22542.0
238,12.8,732.8528,0,3,1244,40.6,50506.4
239,18.1,837.7233,0,3,1074,29.7,31897.8
240,11.0,1712.632,2,1,421,28.8,12124.800000000001
241,13.7,250.631,7,1,492,41.4,20368.8
242,2.0,2077.39,3,3,1189,33.4,39712.6
243,32.8,204.1705,8,1,478,48.2,23039.600000000002
244,4.8,1559.827,3,3,1262,21.7,27385.399999999998
245,7.5,639.6198,5,2,1219,40.8,49735.2
246,16.4,389.8219,6,1,506,40.6,20543.600000000002
247,21.7,1055.067,0,1,465,23.1,10741.5
248,19.0,1009.235,0,2,1123,22.3,25042.9
249,18.0,6306.153,1,2,1439,15.0,21585.0
250,39.2,424.7132,7,1,420,30.0,12600.0
251,31.7,1159.454,0,2,970,13.8,13386.0
252,5.9,90.45606,9,3,1164,52.7,61342.8
253,30.4,1735.595,2,2,1120,25.9,29008.0
254,1.1,329.9747,5,2,965,51.8,49987.0
255,31.5,5512.038,1,2,1368,17.4,23803.199999999997
256,14.6,339.2289,1,2,1154,26.5,30581.0
257,17.3,444.1334,1,2,1388,43.9,60933.2
258,0.0,292.9978,6,2,1205,63.3,76276.5
259,17.7,837.7233,0,3,1013,28.8,29174.4
260,17.0,1485.097,4,1,513,30.7,15749.1
261,16.2,2288.011,3,1,453,24.4,11053.199999999999
262,15.9,289.3248,5,1,590,53.0,31270.0
263,3.9,2147.376,3,1,475,31.7,15057.5
264,32.6,493.657,7,3,949,40.6,38529.4
265,15.7,815.9314,4,3,1395,38.1,53149.5
266,17.8,1783.18,3,2,1423,23.7,33725.1
267,34.7,482.7581,5,3,847,41.1,34811.700000000004
268,17.2,390.5684,5,2,844,40.1,33844.4
269,17.6,837.7233,0,1,541,23.0,12443.0
270,10.8,252.5822,1,2,1373,117.5,161327.5
271,17.7,451.6419,8,3,978,26.5,25917.0
272,13.0,492.2313,5,3,890,40.5,36045.0
273,13.2,170.1289,1,2,1299,29.3,38060.700000000004
274,27.5,394.0173,7,1,544,41.0,22304.0
275,1.5,23.38284,7,3,1385,49.7,68834.5
276,19.1,461.1016,5,2,1315,34.0,44710.0
277,21.2,2185.128,3,3,1318,27.7,36508.6
278,0.0,208.3905,6,2,1448,44.0,63712.0
279,2.6,1554.25,3,1,440,31.1,13684.0
280,2.3,184.3302,6,2,1034,45.4,46943.6
281,4.7,387.7721,9,1,539,44.8,24147.199999999997
282,2.0,1455.798,1,3,1154,25.6,29542.4
283,33.5,1978.671,2,2,897,23.5,21079.5
284,15.0,383.2805,7,1,533,34.4,18335.2
285,30.1,718.2937,3,3,1470,55.3,81291.0
286,5.9,90.45606,9,1,436,56.3,24546.8
287,19.2,461.1016,5,2,1469,32.9,48330.1
288,16.6,323.6912,6,1,439,51.0,22389.0
289,13.9,289.3248,5,2,1446,44.5,64347.0
290,37.7,490.3446,0,3,1194,37.0,44178.0
291,3.4,56.47425,7,3,1208,54.4,65715.2
292,17.5,395.6747,5,2,876,24.5,21462.0
293,12.6,383.2805,7,2,927,42.5,39397.5
294,26.4,335.5273,6,3,1330,38.1,50673.0
295,18.2,2179.59,3,3,899,21.8,19598.2
296,12.5,1144.436,4,1,585,34.1,19948.5
297,34.9,567.0349,4,2,1358,28.5,38703.0
298,16.7,4082.015,0,2,1379,16.7,23029.3
299,33.2,121.7262,10,3,1297,46.1,59791.700000000004
300,2.5,156.2442,4,1,543,36.9,20036.7
301,38.0,461.7848,0,1,498,35.7,17778.600000000002
302,16.5,2288.011,3,3,1054,23.2,24452.8
303,38.3,439.7105,0,2,1144,38.4,43929.6
304,20.0,1626.083,3,3,970,29.4,28518.0
305,16.2,289.3248,5,2,914,55.0,50270.0
306,14.4,169.9803,1,3,1305,50.2,65511.00000000001
307,10.3,3079.89,0,2,812,24.7,20056.399999999998
308,16.4,289.3248,5,1,490,53.0,25970.0
309,30.3,1264.73,0,1,554,19.1,10581.400000000001
310,16.4,1643.499,2,3,886,24.7,21884.2
311,21.3,537.7971,4,2,876,42.2,36967.200000000004
312,35.4,318.5292,9,1,433,78.0,33774.0
313,8.3,104.8101,5,3,952,42.8,40745.6
314,3.7,577.9615,6,2,1491,41.6,62025.6
315,15.6,1756.411,2,2,924,27.3,25225.2
316,13.3,250.631,7,2,1307,42.0,54894.0
317,15.6,752.7669,2,1,548,37.5,20550.0
318,7.1,379.5575,10,3,1407,49.8,70068.59999999999
319,34.6,272.6783,5,1,402,26.9,10813.8
320,13.5,4197.349,0,2,1222,18.6,22729.2
321,16.9,964.7496,4,2,1235,37.7,46559.5
322,12.9,187.4823,1,1,480,33.1,15888.0
323,28.6,197.1338,6,1,594,42.5,25245.0
324,12.4,1712.632,2,2,1124,31.3,35181.200000000004
325,36.6,488.8193,8,2,1166,38.1,44424.6
326,4.1,56.47425,7,1,470,62.1,29187.0
327,3.5,757.3377,3,2,1343,36.7,49288.100000000006
328,15.9,1497.713,3,1,506,23.6,11941.6
329,13.6,4197.349,0,1,458,19.2,8793.6
330,32.0,1156.777,0,3,970,12.8,12416.0
331,25.6,4519.69,0,1,426,15.6,6645.599999999999
332,39.8,617.7134,2,2,1491,39.6,59043.6
333,7.8,104.8101,5,3,1498,38.4,57523.2
334,30.0,1013.341,5,1,484,22.8,11035.2
335,27.3,337.6016,6,2,1337,36.5,48800.5
336,5.1,1867.233,2,3,817,35.6,29085.2
337,31.3,600.8604,5,2,1333,30.9,41189.7
338,31.5,258.186,9,1,540,36.3,19602.0
339,1.7,329.9747,5,3,1173,50.4,59119.2
340,33.6,270.8895,0,3,1031,42.9,44229.9
341,13.0,750.0704,2,3,800,37.0,29600.0
342,5.7,90.45606,9,1,492,53.5,26322.0
343,33.5,563.2854,8,3,1284,46.6,59834.4
344,34.6,3085.17,0,3,1012,41.2,41694.4
345,0.0,185.4296,0,2,839,37.9,31798.1
346,13.2,1712.632,2,3,1400,30.8,43120.0
347,17.4,6488.021,1,3,933,11.2,10449.599999999999
348,4.6,259.6607,6,3,1183,53.7,63527.100000000006
349,7.8,104.8101,5,2,889,47.0,41783.0
350,13.2,492.2313,5,2,1146,42.3,48475.799999999996
351,4.0,2180.245,3,1,524,28.6,14986.400000000001
352,18.4,2674.961,3,2,1007,25.7,25879.899999999998
353,4.1,2147.376,3,2,901,31.3,28201.3
354,12.2,1360.139,1,3,1343,30.1,40424.3
355,3.8,383.8624,5,1,493,60.7,29925.100000000002
356,10.3,211.4473,1,1,424,45.3,19207.199999999997
357,0.0,338.9679,9,3,1319,44.9,59223.1
358,1.1,193.5845,6,2,1021,45.1,46047.1
359,5.6,2408.993,0,2,876,24.7,21637.2
360,32.9,87.30222,10,3,1071,47.1,50444.1
361,41.4,281.205,8,1,533,63.3,33738.9
362,17.1,967.4,4,1,550,40.0,22000.0
363,32.3,109.9455,10,2,1135,48.0,54480.0
364,35.3,614.1394,7,3,1369,33.1,45313.9
365,17.3,2261.432,4,1,565,29.5,16667.5
366,14.2,1801.544,1,1,589,24.8,14607.2
367,15.0,1828.319,2,3,840,20.9,17556.0
368,18.2,350.8515,1,3,1246,43.1,53702.6
369,20.2,2185.128,3,3,1350,22.8,30780.0
370,15.9,289.3248,5,2,1060,42.1,44626.0
371,4.1,312.8963,5,2,864,51.7,44668.8
372,33.9,157.6052,7,1,570,41.5,23655.0
373,0.0,274.0144,1,2,1172,52.2,61178.4
374,5.4,390.5684,5,3,1057,49.5,52321.5
375,21.7,1157.988,0,3,1276,23.8,30368.8
376,14.7,1717.193,2,3,984,30.5,30012.0
377,3.9,49.66105,8,3,1325,56.8,75260.0
378,37.3,587.8877,8,2,1040,37.4,38896.0
379,0.0,292.9978,6,3,1410,69.7,98277.0
380,14.1,289.3248,5,2,1149,53.3,61241.7
381,8.0,132.5469,9,3,1451,47.3,68632.3
382,16.3,3529.564,0,1,411,29.3,12042.300000000001
383,29.1,506.1144,4,2,1130,40.3,45539.0
384,16.1,4066.587,0,2,1500,12.9,19350.0
385,18.3,82.88643,10,3,839,46.6,39097.4
386,0.0,185.4296,0,1,565,55.3,31244.5
387,16.2,2103.555,3,2,1405,25.6,35968.0
388,10.4,2251.938,4,1,505,27.3,13786.5
389,40.9,122.3619,8,1,579,67.7,39198.3
390,32.8,377.8302,9,2,1438,38.6,55506.8
391,6.2,1939.749,1,3,1494,31.3,46762.200000000004
392,42.7,443.802,6,3,1234,35.3,43560.2
393,16.9,967.4,4,1,413,40.3,16643.899999999998
394,32.6,4136.271,1,1,421,24.7,10398.699999999999
395,21.2,512.5487,4,3,1088,42.5,46240.0
396,37.1,918.6357,1,2,907,31.9,28933.3
397,13.1,1164.838,4,3,1230,32.2,39606.0
398,14.7,1717.193,2,1,425,23.0,9775.0
399,12.7,170.1289,1,1,489,37.3,18239.699999999997
400,26.8,482.7581,5,3,964,35.5,34222.0
401,7.6,2175.03,3,2,1247,27.7,34541.9
402,12.7,187.4823,1,1,537,28.5,15304.5
403,30.9,161.942,9,1,549,39.7,21795.300000000003
404,16.4,289.3248,5,2,1420,41.2,58504.00000000001
405,23.0,130.9945,6,3,808,37.2,30057.600000000002
406,1.9,372.1386,7,2,1268,40.5,51354.0
407,5.2,2408.993,0,1,587,22.3,13090.1
408,18.5,2175.744,3,1,477,28.1,13403.7
409,13.7,4082.015,0,3,803,15.4,12366.2
410,5.6,90.45606,9,2,1278,50.0,63900.0
411,18.8,390.9696,7,1,503,40.6,20421.8
412,8.1,104.8101,5,1,597,52.5,31342.5
413,6.5,90.45606,9,2,1097,63.9,70098.3
